SMILES,MTase IC50 (micromolar),Delta Tm - SAH/nsp14 (degrees Celsius),Cell EC50 (micromolar)
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.313,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCC2)c(C)n1C,11.6,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2ccc(Cl)cc2)n1C,1.62,,
Cc1c(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cc(C(=O)N2CCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCOCC2)cc(C(=O)N2CCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)c(C)n(C)c1C(=O)NCCc1cccs1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)c(C)n(C)c1C(=O)NCc1cccs1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCc3ccccc32)n1C,50,,
COc1ccc(OC)c(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,50,,
Cn1cc(S(=O)(=O)N2CCCCCC2)cc1C(=O)NCc1ccccc1Cl,50,,
Cc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)c(C)n1C,0.251,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2Cl)n1C,0.497,,
COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,0.253,2.2,
Cc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,0.668,,
COc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,0.612,4.3,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCc2ccccc2)n1C,0.575,3.85,
CCOc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1C,1.78,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCCC2)n1C,1.47,3.9,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCC(C)CC2)n1C,3.7,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)c(C)n1C,2.3,2.7,
CCOc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCCCC3)c(C)n2C)cc1,7.69,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NCc2ccccc2)n1C,21.5,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCc2ccccc2)n1C,30.9,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NCCCc2ccccc2)n1C,37.7,,
Cc1c(S(=O)(=O)N2CCCCC2)cc(C(=O)NC2CCC(C)CC2)n1C,38.1,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCC(C)CC2)cn1C,40.5,,
Cc1c(S(=O)(=O)N2CCCC2)cc(C(=O)NCc2ccccc2Cl)n1C,43.1,,
Cc1c(S(=O)(=O)N2CCOCC2)cc(C(=O)N2CCCCC2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2ccccc2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)N2CCc3ccccc3C2)n1C,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCCC2)cn1C,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCC(C)C2)cn1C,50,,
COc1ccccc1CNC(=O)c1cc(S(=O)(=O)N2CCCCC2)cn1C,50,,
COc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c(OC)c1,50,,
COc1cccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,50,,
COc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2cccc(Cl)c2)n1C,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2ccc(Cl)cc2)n1C,50,,
COc1cc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc(OC)c1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2cccc(F)c2)n1C,50,,
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c(C)c1,50,,
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)Nc2cccc3ccccc23)n1C,50,,
Cc1cccc(NC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)c1,50,,
Cc1c(S(=O)(=O)N2CCC(C)CC2)cc(C(=O)NC2CCCCC2)n1C,50,,
Cc1ccc(CNC(=O)c2cc(S(=O)(=O)N3CCC(C)CC3)c(C)n2C)cc1,50,,
